tempanomaly,Year
-0.125,1880
-0.8825,1881
-0.09333333,1882
-0.5825,1883
0.032500003,1884
-0.63666666,1885
-0.50166667,1886
-1.24,1887
-1.3616667,1888
-0.87999994,1889
-0.9166667,1890
-0.92249995,1891
-0.85249996,1892
-0.20499997,1893
-0.20666665,1894
-0.84999996,1895
-0.56916666,1896
-0.14750002,1897
0.3175,1898
0.026666662,1899
0.058333326,1900
-0.63,1901
-0.87166667,1902
-0.19083333,1903
-0.059166666,1904
-0.4358333,1905
-0.115833335,1906
-0.48999998,1907
-0.5575,1908
-0.9491666,1909
-0.0975,1910
0.54,1911
-0.44916666,1912
0.109166674,1913
0.08166664,1914
-0.53749996,1915
-0.03666666,1916
-0.86999995,1917
0.012500008,1918
-0.96250004,1919
0.33666667,1920
0.7191667,1921
-0.89166665,1922
-0.26,1923
-0.52166665,1924
-0.22666667,1925
0.31916666,1926
-0.165,1927
0.13916667,1928
-0.6325,1929
0.35000002,1930
-0.615,1931
-0.029166678,1932
-0.27833334,1933
0.8458333,1934
0.061666667,1935
0.086666666,1936
0.27333334,1937
0.33583334,1938
0.008333325,1939
-1.2175,1940
-0.92499995,1941
-0.70833325,1942
0.67333335,1943
-0.05583334,1944
0.66499996,1945
0.099166654,1946
0.33833328,1947
0.6933333,1948
0.95583326,1949
0.36666664,1950
0.37166667,1951
-0.22666667,1952
0.6225,1953
-0.42666665,1954
-0.44666663,1955
-1.1858333,1956
0.37249997,1957
0.03583333,1958
0.8925,1959
0.22833331,1960
0.81583333,1961
-0.8541667,1962
-1.0124999,1963
0.038333323,1964
-0.5675,1965
0.24749999,1966
0.5158333,1967
-0.03583333,1968
-0.23416667,1969
-0.25333333,1970
0.26416665,1971
-0.19083333,1972
0.11916667,1973
0.5075,1974
0.65500003,1975
0.375,1976
0.36749998,1977
-0.27,1978
-0.3808333,1979
-0.3425,1980
0.025000015,1981
0.71666664,1982
0.7941666,1983
0.04833332,1984
-0.54833335,1985
-0.2333333,1986
-0.37,1987
0.84916663,1988
1.3033333,1989
1.3483334,1990
0.29583332,1991
1.0533334,1992
0.4033333,1993
1.4625,1994
0.9491667,1995
-0.42499998,1996
1.05,1997
0.9841666,1998
1.3483334,1999
1.5925001,2000
0.9433333,2001
1.4908333,2002
1.4025,2003
0.99,2004
1.0258332,2005
1.5524999,2006
1.6783333,2007
1.2708334,2008
1.165,2009
-0.114166655,2010
1.7225,2011
1.0433333,2012
0.70666665,2013
2.285,2014
1.7883333,2015
1.5333333,2016
1.6291666,2017
2.1916666,2018
2.0766666,2019
2.3374999,2020
1.2583333,2021
2.4783332,2022
2.445,2023
2.87,2024
