tempanomaly,Year
-0.68416667,1880
-0.07916665,1881
-1.01,1882
-0.7416666,1883
-0.83166665,1884
-0.69,1885
-1.6733333,1886
-0.49749997,1887
0.64666665,1888
-0.6583333,1889
-0.94249994,1890
-1.2491666,1891
-0.39166665,1892
-0.29833332,1893
-0.90166664,1894
-0.42499998,1895
-0.40916666,1896
-1.0291666,1897
-1.7283334,1898
0.10833335,1899
-0.875,1900
-0.69,1901
-0.19166665,1902
-1.6275,1903
-0.6041667,1904
-1.2983333,1905
-0.42416665,1906
-1.155,1907
-0.68416667,1908
-0.01999999,1909
-0.5741666,1910
-0.6891667,1911
-0.10083332,1912
-0.35,1913
0.57166666,1914
1.0541667,1915
-0.4575,1916
0.36916664,1917
-0.84250003,1918
-0.7208333,1919
-1.9625,1920
-0.99916667,1921
0.25333333,1922
-0.715,1923
-0.48583332,1924
0.044166684,1925
-0.10500001,1926
-0.17916666,1927
-1.0133333,1928
-1.4225,1929
-1.1816666,1930
-1.0166667,1931
-0.6958334,1932
-0.5258333,1933
-1.6675,1934
-1.1141666,1935
-0.5508334,1936
-1.1308333,1937
-0.13583334,1938
0.125,1939
0.65333337,1940
1.1933333,1941
0.10583333,1942
-0.6075,1943
0.22083335,1944
-0.75916666,1945
0.15833332,1946
0.5058333,1947
-0.235,1948
-1.2166666,1949
-1.0608333,1950
-0.4658333,1951
-0.109166645,1952
-0.08833331,1953
-0.96999997,1954
0.385,1955
0.3108333,1956
-1.0666666,1957
0.09166667,1958
-0.19166666,1959
-0.45166668,1960
0.23333335,1961
0.023333311,1962
0.8666666,1963
-0.80916667,1964
0.24999999,1965
0.39166665,1966
-0.20583332,1967
-0.018333325,1968
-0.84999996,1969
0.46916667,1970
0.84,1971
-1.1874999,1972
0.5825,1973
-0.5158333,1974
-0.039999977,1975
-0.14666666,1976
0.7075,1977
0.44666663,1978
0.58416665,1979
0.93,1980
0.565,1981
-0.04916668,1982
0.81749994,1983
-0.52416664,1984
0.37833333,1985
0.28583333,1986
0.39166665,1987
0.9391666,1988
-0.16416667,1989
0.8924999,1990
0.255,1991
0.122499965,1992
-0.37333333,1993
0.315,1994
0.64416665,1995
-0.2,1996
1.1066667,1997
0.7966666,1998
1.04,1999
1.1,2000
1.2191666,2001
1.2658333,2002
0.6041667,2003
1.6016666,2004
1.0866667,2005
1.3716666,2006
1.4341666,2007
1.0433333,2008
1.0124999,2009
1.4033333,2010
0.7916667,2011
0.305,2012
1.4941667,2013
0.17666668,2014
1.4966666,2015
1.8275,2016
1.3133333,2017
1.0583333,2018
1.6175,2019
0.93083334,2020
1.66,2021
2.1241667,2022
2.2841666,2023
2.0774999,2024
