tempanomaly,Year
-0.21666665,1880
0.3708333,1881
-0.62916666,1882
-0.7308333,1883
-0.69583327,1884
-0.53499997,1885
-0.58916664,1886
-0.5058333,1887
-0.62916666,1888
-1.0208334,1889
-1.2566667,1890
-0.64,1891
0.24749999,1892
0.24166663,1893
-0.2775,1894
0.52666664,1895
-0.955,1896
0.43999997,1897
-0.08083332,1898
0.8875,1899
-0.120833345,1900
-0.385,1901
0.044166658,1902
-0.31166667,1903
-0.004999995,1904
-0.47,1905
-0.56249994,1906
-0.59416664,1907
-0.044166673,1908
-0.65416664,1909
-0.48166668,1910
-0.21749997,1911
-0.29166666,1912
-0.010833338,1913
-0.475,1914
-0.23083334,1915
-0.043333333,1916
-0.795,1917
-0.81916666,1918
-0.35916665,1919
0.40583333,1920
-0.46249998,1921
-0.15583332,1922
-0.7758333,1923
0.24833333,1924
-0.865,1925
0.31999996,1926
0.27833334,1927
-0.042499993,1928
-0.465,1929
0.22416668,1930
0.35583332,1931
-0.26583332,1932
-0.13416664,1933
-0.38583335,1934
-0.12499998,1935
-0.165,1936
0.57416666,1937
-0.48166665,1938
-0.4525,1939
-0.2308333,1940
-0.087500006,1941
0.38833335,1942
0.13583334,1943
-0.24000001,1944
0.52166665,1945
0.205,1946
0.86999995,1947
0.27333334,1948
0.3183333,1949
0.1175,1950
0.09666666,1951
0.4091667,1952
-0.19,1953
-0.41916665,1954
1.0016667,1955
-0.5441666,1956
-0.37749997,1957
0.41083333,1958
0.15249999,1959
0.38416663,1960
0.54833335,1961
0.110833324,1962
0.2158333,1963
0.13166668,1964
0.005833333,1965
0.23916663,1966
-0.078333326,1967
0.1275,1968
-0.0033333201,1969
0.05166666,1970
-0.48166668,1971
-0.56,1972
-0.16833334,1973
-0.46249998,1974
-0.39916667,1975
-0.7425,1976
0.37416664,1977
-0.050833344,1978
0.30166665,1979
-0.0875,1980
0.49083337,1981
0.31666666,1982
0.6325,1983
-0.10750001,1984
0.5491666,1985
0.23666666,1986
1.1733333,1987
0.94666666,1988
0.96999997,1989
1.0366666,1990
-0.08833334,1991
-0.08249999,1992
0.47166666,1993
1.105,1994
0.96000004,1995
0.63416666,1996
1.2208333,1997
0.8883333,1998
1.5091667,1999
1.0816666,2000
1.7683333,2001
1.3116666,2002
1.4758333,2003
0.955,2004
1.0316666,2005
1.4666667,2006
1.1166667,2007
1.14,2008
1.2175,2009
1.7666665,2010
1.2166667,2011
1.3249999,2012
1.0699999,2013
1.7658333,2014
1.4316667,2015
1.8908334,2016
1.5933332,2017
1.2941667,2018
1.4,2019
1.9316667,2020
2.3475,2021
2.3916667,2022
2.3075,2023
2.9524999,2024
