tempanomaly,Year
0.035000004,1880
0.051666662,1881
0.09083333,1882
-0.16333333,1883
-0.22083332,1884
-0.21333332,1885
-0.013333332,1886
-0.36166665,1887
0.20666666,1888
0.5975,1889
-0.18416667,1890
-0.35083333,1891
-0.0066666654,1892
-0.02833333,1893
-0.29416665,1894
-0.049166664,1895
0.1425,1896
0.6408333,1897
0.046666667,1898
-0.26833335,1899
0.4333333,1900
-0.27416667,1901
-0.25666666,1902
-0.004166668,1903
-0.43416667,1904
0.15916666,1905
0.26416668,1906
-0.28583333,1907
-0.1275,1908
-0.04,1909
-0.037500005,1910
-0.071666665,1911
0.09916666,1912
-0.24416667,1913
0.04583333,1914
0.23083334,1915
-0.15166666,1916
-0.22499998,1917
-0.39916667,1918
0.12666665,1919
-0.026666665,1920
-0.14333333,1921
-0.1925,1922
-0.0775,1923
0.025833333,1924
-0.3358333,1925
0.0425,1926
-0.096666664,1927
-0.022499999,1928
-0.375,1929
-0.019999998,1930
0.25416666,1931
-0.27333334,1932
-0.195,1933
-0.49916664,1934
-0.25083333,1935
-0.10166666,1936
-0.014166665,1937
-0.07583333,1938
-0.30749997,1939
-0.039166667,1940
0.5175,1941
0.245,1942
-0.465,1943
-0.03,1944
0.034166664,1945
-0.074999996,1946
-0.15916666,1947
-0.3008333,1948
-0.3333333,1949
-0.22416668,1950
-0.119166665,1951
-0.044999998,1952
-0.040833335,1953
-0.0975,1954
-0.1675,1955
-0.21666665,1956
0.015,1957
0.22833334,1958
0.10999999,1959
0.095,1960
-0.13333333,1961
-0.16333333,1962
-0.26666668,1963
0.010000001,1964
-0.19166666,1965
0.145,1966
-0.3475,1967
-0.10666666,1968
0.21999998,1969
0.2275,1970
-0.17999999,1971
0.10333333,1972
0.3808333,1973
-0.19833332,1974
0.044166666,1975
-0.15583333,1976
0.046666667,1977
0.18833333,1978
0.27833334,1979
0.34,1980
0.27166668,1981
0.15083332,1982
0.6016666,1983
0.022499999,1984
0.1225,1985
0.1275,1986
0.585,1987
0.56916666,1988
0.23166667,1989
0.52,1990
0.38666666,1991
0.43083334,1992
0.26916668,1993
0.07083333,1994
0.3033333,1995
0.3033333,1996
0.38833332,1997
1.03,1998
0.28666666,1999
0.25416666,2000
0.4908333,2001
0.5958333,2002
0.48,2003
0.39666665,2004
0.6033333,2005
0.44666663,2006
0.3858333,2007
0.2525,2008
0.5608333,2009
0.83,2010
0.29999998,2011
0.51166666,2012
0.6425,2013
0.7191667,2014
0.9216666,2015
1.255,2016
0.74666667,2017
0.64166665,2018
0.81749994,2019
0.97749996,2020
0.7441666,2021
0.77916664,2022
0.69249994,2023
1.1787499,2024
