tempanomaly,Year
-0.92749995,1880
-1.0216666,1881
-1.0333333,1882
-1.0975,1883
-1.8916665,1884
-1.4266666,1885
-0.7575,1886
-0.875,1887
-0.7933333,1888
-1.3183333,1889
0.4775,1890
-0.5308333,1891
-0.8433333,1892
-1.1266667,1893
0.14,1894
-0.73,1895
-0.7383334,1896
-1.0291666,1897
-0.27583334,1898
-0.55,1899
-0.81749994,1900
-0.75083333,1901
-0.75,1902
-0.5783333,1903
-0.6508333,1904
-0.68333334,1905
-1.1508332,1906
-0.93333334,1907
-1.0875,1908
-0.88333327,1909
-0.9575,1910
-0.30666664,1911
-0.6991666,1912
-1.2166666,1913
0.1775,1914
-0.14999999,1915
0.22000001,1916
-1.0366666,1917
-0.85583335,1918
-0.38249996,1919
-0.205,1920
-0.80749995,1921
-0.10583332,1922
-0.32083333,1923
-0.6608333,1924
-0.6875,1925
-1.04,1926
-0.6666666,1927
-0.34083334,1928
-0.5208333,1929
0.038333338,1930
-0.71250004,1931
-0.36499998,1932
-0.29,1933
-0.9241666,1934
-0.4825,1935
-0.8925,1936
-0.05999999,1937
-0.29166666,1938
-0.2075,1939
-0.29333332,1940
-0.20583332,1941
-0.12500003,1942
-0.37583336,1943
-0.605,1944
-1.1083332,1945
0.05166666,1946
-0.9791667,1947
0.3983333,1948
-0.2675,1949
0.27166668,1950
-0.13583334,1951
-0.23,1952
-0.19333333,1953
0.045833334,1954
0.475,1955
-0.2733333,1956
-0.2625,1957
0.29666665,1958
0.7649999,1959
0.4483333,1960
0.81666666,1961
0.14583333,1962
-0.12833332,1963
0.25166664,1964
-0.6191667,1965
-0.07750001,1966
0.02916666,1967
-0.19166666,1968
-0.29666665,1969
-0.40499997,1970
-0.2708333,1971
0.25416666,1972
0.07916669,1973
-0.53,1974
0.04166667,1975
-0.5833333,1976
0.054166663,1977
0.30999997,1978
0.6991666,1979
-0.5125,1980
-0.6683333,1981
0.012499998,1982
-0.057500016,1983
-0.67,1984
0.058333337,1985
-0.545,1986
0.38249996,1987
-0.29,1988
0.56166667,1989
1.2391666,1990
0.5783333,1991
0.3233333,1992
-0.16916668,1993
1.0791667,1994
0.12750001,1995
-0.100833334,1996
0.53416663,1997
1.26,1998
0.89333326,1999
0.69083333,2000
0.40666664,2001
0.6991667,2002
0.3641667,2003
1.2616667,2004
0.36999997,2005
0.55333334,2006
1.0141667,2007
0.65500003,2008
0.7225,2009
0.9633333,2010
0.475,2011
0.3025,2012
0.74499995,2013
0.43666664,2014
1.0408334,2015
1.3191667,2016
0.55083334,2017
1.2191666,2018
1.3416667,2019
1.3916665,2020
1.31,2021
1.2383333,2022
2.0591667,2023
2.18375,2024
